Acquired on 7/10/2022 at 22:27:40
Calibrated on 7/10/2022 at 10:40:43
Device Descriptor:  [none]
Scan Range (nm):  1525.002  --  1610.564
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030924
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.52500159E+003	-3.13030472E+001	7.40790041E-004	-3.13030472E+001	-3.33136024E+001	-3.56142998E+001	3.01507511E+001	
1.52500659E+003	-3.49922409E+001	3.16793128E-004	-3.49922409E+001	-3.57950172E+001	-4.27193489E+001	3.01507511E+001	
1.52501160E+003	-3.48535423E+001	3.27073853E-004	-3.48535423E+001	-3.59943275E+001	-4.12172623E+001	3.00214939E+001	
1.52501648E+003	-3.52831154E+001	2.96270533E-004	-3.52831154E+001	-3.57789917E+001	-4.49528313E+001	2.99398994E+001	
1.52502136E+003	-3.50905380E+001	3.09703697E-004	-3.50905380E+001	-3.57814865E+001	-4.34148102E+001	2.99857426E+001	
1.52502637E+003	-3.48461838E+001	3.27628659E-004	-3.48461838E+001	-3.57952042E+001	-4.19171448E+001	3.00112247E+001	
1.52503137E+003	-3.51625633E+001	3.04609654E-004	-3.51625633E+001	-3.58068237E+001	-4.37679367E+001	2.99876823E+001	
1.52503625E+003	-3.50974007E+001	3.09214491E-004	-3.50974007E+001	-3.57487717E+001	-4.36585770E+001	2.99721146E+001	
1.52504114E+003	-3.48202820E+001	3.29588249E-004	-3.48202820E+001	-3.56785431E+001	-4.22839928E+001	2.99854069E+001	
1.52504614E+003	-3.50786896E+001	3.10549745E-004	-3.50786896E+001	-3.58045616E+001	-4.32057953E+001	3.00059032E+001	
1.52505115E+003	-3.51400566E+001	3.06192349E-004	-3.51400566E+001	-3.58058662E+001	-4.36130524E+001	2.99949017E+001	
