Acquired on 7/10/2022 at 18:48:00
Calibrated on 7/10/2022 at 10:40:43
Device Descriptor:  [none]
Scan Range (nm):  1525.002  --  1610.564
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030924
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.52500159E+003	-2.81030807E+001	1.54771889E-003	-2.81030807E+001	-3.02472572E+001	-3.21963844E+001	2.99420624E+001	
1.52500659E+003	-2.70059090E+001	1.99254975E-003	-2.70059090E+001	-2.75985317E+001	-3.59489136E+001	2.99420624E+001	
1.52501160E+003	-2.67633915E+001	2.10698252E-003	-2.67633915E+001	-2.72440681E+001	-3.65608292E+001	2.99847641E+001	
1.52501648E+003	-2.72199535E+001	1.89672667E-003	-2.72199535E+001	-2.79199505E+001	-3.54921303E+001	2.99927597E+001	
1.52502136E+003	-2.70671577E+001	1.96464546E-003	-2.70671577E+001	-2.76862545E+001	-3.58332825E+001	2.99871349E+001	
1.52502637E+003	-2.68459129E+001	2.06732471E-003	-2.68459129E+001	-2.73816452E+001	-3.61993980E+001	2.99871979E+001	
1.52503137E+003	-2.70068645E+001	1.99211133E-003	-2.70068645E+001	-2.76350212E+001	-3.57143135E+001	2.99863262E+001	
1.52503625E+003	-2.70137615E+001	1.98894972E-003	-2.70137615E+001	-2.76397419E+001	-3.57352295E+001	2.99870396E+001	
1.52504114E+003	-2.68884201E+001	2.04718905E-003	-2.68884201E+001	-2.74557896E+001	-3.60082092E+001	2.99887981E+001	
1.52504614E+003	-2.69484787E+001	2.01907335E-003	-2.69484787E+001	-2.75545807E+001	-3.58003960E+001	2.99854774E+001	
1.52505115E+003	-2.69941292E+001	1.99796190E-003	-2.69941292E+001	-2.76211472E+001	-3.57088966E+001	2.99856377E+001	
1.52505603E+003	-2.69448051E+001	2.02078209E-003	-2.69448051E+001	-2.75423317E+001	-3.58544121E+001	2.99895115E+001	
1.52506104E+003	-2.69407940E+001	2.02264963E-003	-2.69407940E+001	-2.75386810E+001	-3.58479538E+001	2.99876537E+001	
1.52506592E+003	-2.69419594E+001	2.02210620E-003	-2.69419594E+001	-2.75467644E+001	-3.58025513E+001	2.99867706E+001	
1.52507080E+003	-2.69245987E+001	2.03020684E-003	-2.69245987E+001	-2.75291252E+001	-3.57870445E+001	2.99900169E+001	
1.52507581E+003	-2.69253845E+001	2.02983897E-003	-2.69253845E+001	-2.75316124E+001	-3.57764587E+001	2.99890003E+001	
1.52508081E+003	-2.69301834E+001	2.02759705E-003	-2.69301815E+001	-2.75296097E+001	-3.58269310E+001	2.99873619E+001	
1.52508582E+003	-2.69483547E+001	2.01913179E-003	-2.69483547E+001	-2.75560474E+001	-3.57896576E+001	2.99893208E+001	
1.52509058E+003	-2.69497395E+001	2.01848708E-003	-2.69497395E+001	-2.75656300E+001	-3.57368622E+001	2.99889774E+001	
1.52509558E+003	-2.69215965E+001	2.03160988E-003	-2.69215965E+001	-2.75185413E+001	-3.58351479E+001	2.99878922E+001	
1.52510059E+003	-2.69412403E+001	2.02244124E-003	-2.69412403E+001	-2.75417118E+001	-3.58309364E+001	2.99897938E+001	
1.52510547E+003	-2.69591694E+001	2.01410963E-003	-2.69591694E+001	-2.75765610E+001	-3.57364388E+001	2.99906006E+001	
1.52511047E+003	-2.69107800E+001	2.03667674E-003	-2.69107800E+001	-2.75075150E+001	-3.58257446E+001	2.99898243E+001	
1.52511536E+003	-2.69103985E+001	2.03685509E-003	-2.69103985E+001	-2.75011349E+001	-3.58663216E+001	2.99897690E+001	
1.52512036E+003	-2.69521618E+001	2.01736204E-003	-2.69521618E+001	-2.75672646E+001	-3.57444458E+001	2.99892540E+001	
1.52512524E+003	-2.69243660E+001	2.03031418E-003	-2.69243660E+001	-2.75301933E+001	-3.57781372E+001	2.99886284E+001	
1.52513025E+003	-2.69101734E+001	2.03696010E-003	-2.69101734E+001	-2.75004196E+001	-3.58694763E+001	2.99886665E+001	
1.52513513E+003	-2.69517746E+001	2.01754132E-003	-2.69517746E+001	-2.75591087E+001	-3.57954750E+001	2.99891911E+001	
1.52514014E+003	-2.69420834E+001	2.02204846E-003	-2.69420834E+001	-2.75522308E+001	-3.57670937E+001	2.99904480E+001	
1.52514502E+003	-2.69149685E+001	2.03471351E-003	-2.69149666E+001	-2.75107880E+001	-3.58361549E+001	2.99895992E+001	
1.52515002E+003	-2.69370956E+001	2.02437257E-003	-2.69370956E+001	-2.75383015E+001	-3.58218422E+001	2.99871883E+001	
1.52515503E+003	-2.69486237E+001	2.01900629E-003	-2.69486237E+001	-2.75590477E+001	-3.57717972E+001	2.99887409E+001	
1.52515979E+003	-2.69347172E+001	2.02548155E-003	-2.69347172E+001	-2.75434303E+001	-3.57692299E+001	2.99912128E+001	
1.52516479E+003	-2.69190121E+001	2.03281897E-003	-2.69190121E+001	-2.75240345E+001	-3.57781372E+001	2.99897156E+001	
1.52516980E+003	-2.69059639E+001	2.03893660E-003	-2.69059639E+001	-2.75089531E+001	-3.57787170E+001	2.99894867E+001	
1.52517480E+003	-2.69225235E+001	2.03117635E-003	-2.69225235E+001	-2.75296612E+001	-3.57675285E+001	2.99909763E+001	
1.52517969E+003	-2.69347401E+001	2.02547084E-003	-2.69347401E+001	-2.75428543E+001	-3.57732544E+001	2.99889126E+001	
1.52518457E+003	-2.69102840E+001	2.03690864E-003	-2.69102840E+001	-2.75118732E+001	-3.57924538E+001	2.99876976E+001	
1.52518958E+003	-2.69168053E+001	2.03385297E-003	-2.69168053E+001	-2.75239029E+001	-3.57620621E+001	2.99903831E+001	
1.52519446E+003	-2.69350166E+001	2.02534138E-003	-2.69350166E+001	-2.75470009E+001	-3.57478600E+001	2.99909821E+001	
1.52519946E+003	-2.69046383E+001	2.03955919E-003	-2.69046383E+001	-2.75063210E+001	-3.57861671E+001	2.99895630E+001	
