Acquired on 7/10/2022 at 20:23:57
Calibrated on 7/10/2022 at 10:40:43
Device Descriptor:  [none]
Scan Range (nm):  1525.002  --  1610.564
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030924
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.52500159E+003	-3.54332123E+001	2.86206021E-004	-3.54332123E+001	-4.11139107E+001	-3.68020821E+001	3.06268673E+001	
1.52500659E+003	-3.51954613E+001	3.02310975E-004	-3.51954613E+001	-3.57998276E+001	-4.40589714E+001	3.06268673E+001	
1.52501160E+003	-3.37491913E+001	4.21774981E-004	-3.37491913E+001	-3.45568924E+001	-4.14521332E+001	2.99914188E+001	
1.52501648E+003	-3.63111649E+001	2.33821091E-004	-3.63111649E+001	-3.70029297E+001	-4.46307030E+001	3.00041065E+001	
1.52502136E+003	-3.55219727E+001	2.80416047E-004	-3.55219727E+001	-3.61584816E+001	-4.41761093E+001	2.99751358E+001	
1.52502637E+003	-3.46111717E+001	3.45846027E-004	-3.46111717E+001	-3.52407913E+001	-4.33092499E+001	2.99748363E+001	
1.52503137E+003	-3.53799477E+001	2.89737975E-004	-3.53799477E+001	-3.60938492E+001	-4.35734711E+001	3.00087357E+001	
1.52503625E+003	-3.53829155E+001	2.89539894E-004	-3.53829155E+001	-3.60910110E+001	-4.36090660E+001	2.99870968E+001	
1.52504114E+003	-3.49980049E+001	3.16373073E-004	-3.49980049E+001	-3.55872002E+001	-4.39645157E+001	2.99692001E+001	
1.52504614E+003	-3.51818504E+001	3.03259993E-004	-3.51818504E+001	-3.58671455E+001	-4.35390511E+001	3.00038280E+001	
1.52505115E+003	-3.52502022E+001	2.98524305E-004	-3.52502022E+001	-3.59945869E+001	-4.32769547E+001	2.99977226E+001	
1.52505603E+003	-3.52698402E+001	2.97177583E-004	-3.52698402E+001	-3.58571854E+001	-4.42491074E+001	2.99727898E+001	
1.52506104E+003	-3.51776657E+001	3.03552340E-004	-3.51776657E+001	-3.58110085E+001	-4.38519249E+001	2.99961128E+001	
1.52506592E+003	-3.49961510E+001	3.16508027E-004	-3.49961510E+001	-3.57354774E+001	-4.30500603E+001	3.00016651E+001	
1.52507080E+003	-3.52512817E+001	2.98450119E-004	-3.52512817E+001	-3.58812332E+001	-4.39472237E+001	2.99813881E+001	
1.52507581E+003	-3.53097305E+001	2.94460566E-004	-3.53097305E+001	-3.59202042E+001	-4.41325684E+001	2.99881859E+001	
1.52508081E+003	-3.50044594E+001	3.15903104E-004	-3.50044594E+001	-3.57053070E+001	-4.32717896E+001	2.99944286E+001	
1.52508582E+003	-3.52066727E+001	3.01531516E-004	-3.52066727E+001	-3.58694115E+001	-4.36982574E+001	2.99851627E+001	
1.52509058E+003	-3.53578720E+001	2.91214266E-004	-3.53578720E+001	-3.59874725E+001	-4.40560837E+001	2.99877396E+001	
1.52509558E+003	-3.49905701E+001	3.16915306E-004	-3.49905701E+001	-3.56639748E+001	-4.34179916E+001	2.99914303E+001	
1.52510059E+003	-3.50678787E+001	3.11323733E-004	-3.50678787E+001	-3.57441177E+001	-4.34784393E+001	2.99909916E+001	
1.52510547E+003	-3.53434296E+001	2.92184501E-004	-3.53434296E+001	-3.60104027E+001	-4.38093872E+001	2.99930439E+001	
1.52511047E+003	-3.50951080E+001	3.09377676E-004	-3.50951080E+001	-3.57481346E+001	-4.36460876E+001	2.99873505E+001	
1.52511536E+003	-3.50201263E+001	3.14765552E-004	-3.50201263E+001	-3.56639786E+001	-4.36280823E+001	2.99882927E+001	
1.52512036E+003	-3.52471123E+001	2.98736733E-004	-3.52471123E+001	-3.59213791E+001	-4.36694031E+001	2.99959373E+001	
1.52512524E+003	-3.51754837E+001	3.03704583E-004	-3.51754837E+001	-3.58383904E+001	-4.36660576E+001	2.99884033E+001	
1.52513025E+003	-3.50592270E+001	3.11944372E-004	-3.50592270E+001	-3.56959648E+001	-4.37119484E+001	2.99864845E+001	
1.52513513E+003	-3.51209450E+001	3.07542738E-004	-3.51209450E+001	-3.58027000E+001	-4.34989166E+001	2.99975719E+001	
1.52514014E+003	-3.51583443E+001	3.04905785E-004	-3.51583443E+001	-3.58361320E+001	-4.35597382E+001	2.99923897E+001	
1.52514502E+003	-3.51717606E+001	3.03965207E-004	-3.51717606E+001	-3.57939186E+001	-4.39179802E+001	2.99860516E+001	
1.52515002E+003	-3.51057816E+001	3.08618415E-004	-3.51057816E+001	-3.57643776E+001	-4.36225739E+001	2.99949265E+001	
1.52515503E+003	-3.50934410E+001	3.09496681E-004	-3.50934410E+001	-3.57847710E+001	-4.34154930E+001	2.99931278E+001	
1.52515979E+003	-3.52505188E+001	2.98502506E-004	-3.52505188E+001	-3.59022980E+001	-4.38091850E+001	2.99867268E+001	
1.52516479E+003	-3.51749840E+001	3.03739856E-004	-3.51749840E+001	-3.58346748E+001	-4.36850777E+001	2.99925632E+001	
1.52516980E+003	-3.50103760E+001	3.15473124E-004	-3.50103760E+001	-3.56933022E+001	-4.33814697E+001	2.99933701E+001	
1.52517480E+003	-3.51893921E+001	3.02733650E-004	-3.51893921E+001	-3.58530121E+001	-4.36756210E+001	2.99885330E+001	
1.52517969E+003	-3.52557869E+001	2.98140745E-004	-3.52557869E+001	-3.59184418E+001	-4.37478714E+001	2.99888878E+001	
1.52518457E+003	-3.50576553E+001	3.12057266E-004	-3.50576553E+001	-3.57296181E+001	-4.34937134E+001	2.99892635E+001	
1.52518958E+003	-3.51281738E+001	3.07031267E-004	-3.51281738E+001	-3.57968063E+001	-4.35841904E+001	2.99908485E+001	
