Acquired on 7/10/2022 at 22:00:53
Calibrated on 7/10/2022 at 10:40:43
Device Descriptor:  [none]
Scan Range (nm):  1525.002  --  1610.564
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030924
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.52500159E+003	-3.47021255E+001	3.38678277E-004	-3.47021255E+001	-4.36737976E+001	-3.52905731E+001	3.10255108E+001	
1.52500659E+003	-3.51551933E+001	3.05127061E-004	-3.51551933E+001	-3.57866058E+001	-4.38417778E+001	3.10255108E+001	
1.52501160E+003	-3.38108025E+001	4.15833958E-004	-3.38108025E+001	-3.44227562E+001	-4.26238174E+001	2.99704838E+001	
1.52501648E+003	-3.57508087E+001	2.66022951E-004	-3.57508087E+001	-3.67094307E+001	-4.27826729E+001	3.00350132E+001	
1.52502136E+003	-3.53061981E+001	2.94700149E-004	-3.53061981E+001	-3.60381584E+001	-4.33999977E+001	2.99638500E+001	
1.52502637E+003	-3.47178040E+001	3.37457837E-004	-3.47178040E+001	-3.52903824E+001	-4.38004456E+001	2.99630451E+001	
1.52503137E+003	-3.50696640E+001	3.11195530E-004	-3.50696640E+001	-3.58856239E+001	-4.27324257E+001	3.00134525E+001	
1.52503625E+003	-3.51044922E+001	3.08709976E-004	-3.51044922E+001	-3.59109535E+001	-4.28134995E+001	2.99809837E+001	
1.52504114E+003	-3.50400124E+001	3.13327648E-004	-3.50400124E+001	-3.56362076E+001	-4.39586601E+001	2.99596653E+001	
1.52504614E+003	-3.49838867E+001	3.17403261E-004	-3.49838867E+001	-3.57091141E+001	-4.31145554E+001	2.99997177E+001	
1.52505115E+003	-3.49443893E+001	3.20302875E-004	-3.49443893E+001	-3.57496758E+001	-4.26591568E+001	2.99942188E+001	
1.52505603E+003	-3.52135506E+001	3.01054533E-004	-3.52135506E+001	-3.58657494E+001	-4.37696037E+001	2.99705200E+001	
1.52506104E+003	-3.50954094E+001	3.09356343E-004	-3.50954094E+001	-3.57831154E+001	-4.34385376E+001	2.99906502E+001	
1.52506592E+003	-3.48222466E+001	3.29439208E-004	-3.48222466E+001	-3.55917015E+001	-4.27173042E+001	2.99974747E+001	
1.52507080E+003	-3.51310043E+001	3.06831236E-004	-3.51310043E+001	-3.58207054E+001	-4.34625168E+001	2.99830551E+001	
1.52507581E+003	-3.51462555E+001	3.05755704E-004	-3.51462555E+001	-3.58142929E+001	-4.36058273E+001	2.99845219E+001	
1.52508081E+003	-3.47793236E+001	3.32711526E-004	-3.47793236E+001	-3.54998589E+001	-4.29358978E+001	2.99877739E+001	
1.52508582E+003	-3.50039139E+001	3.15942976E-004	-3.50039139E+001	-3.57300606E+001	-4.31295242E+001	2.99873257E+001	
1.52509058E+003	-3.52019730E+001	3.01857886E-004	-3.52019730E+001	-3.59183350E+001	-4.33817673E+001	2.99891281E+001	
1.52509558E+003	-3.48859062E+001	3.24645487E-004	-3.48859062E+001	-3.55793686E+001	-4.31956520E+001	2.99852543E+001	
1.52510059E+003	-3.49081001E+001	3.22990818E-004	-3.49081001E+001	-3.56132507E+001	-4.31509209E+001	2.99886169E+001	
1.52510547E+003	-3.50952721E+001	3.09366093E-004	-3.50952721E+001	-3.58440018E+001	-4.30988503E+001	2.99947701E+001	
1.52511047E+003	-3.49373703E+001	3.20820924E-004	-3.49373703E+001	-3.56450310E+001	-4.31660080E+001	2.99873104E+001	
1.52511536E+003	-3.48958702E+001	3.23901535E-004	-3.48958702E+001	-3.55832863E+001	-4.32406845E+001	2.99869614E+001	
1.52512036E+003	-3.50240059E+001	3.14484554E-004	-3.50240059E+001	-3.57746353E+001	-4.30175209E+001	2.99928551E+001	
1.52512524E+003	-3.50236549E+001	3.14510195E-004	-3.50236549E+001	-3.57466087E+001	-4.31668472E+001	2.99868145E+001	
1.52513025E+003	-3.49888573E+001	3.17040307E-004	-3.49888535E+001	-3.56586876E+001	-4.34376450E+001	2.99881802E+001	
1.52513513E+003	-3.49542198E+001	3.19578859E-004	-3.49542198E+001	-3.56808624E+001	-4.30770950E+001	2.99945259E+001	
1.52514014E+003	-3.49878578E+001	3.17113241E-004	-3.49878578E+001	-3.57289963E+001	-4.30319977E+001	2.99854832E+001	
1.52514502E+003	-3.50499344E+001	3.12612741E-004	-3.50499344E+001	-3.57405052E+001	-4.33763924E+001	2.99835644E+001	
1.52515002E+003	-3.49234619E+001	3.21850326E-004	-3.49234619E+001	-3.56385002E+001	-4.31106262E+001	2.99935932E+001	
1.52515503E+003	-3.49122620E+001	3.22681299E-004	-3.49122620E+001	-3.56490860E+001	-4.29796677E+001	2.99904671E+001	
1.52515979E+003	-3.51151505E+001	3.07953218E-004	-3.51151505E+001	-3.58192863E+001	-4.33637657E+001	2.99861984E+001	
1.52516479E+003	-3.50117302E+001	3.15374753E-004	-3.50117302E+001	-3.57152405E+001	-4.32638741E+001	2.99924374E+001	
1.52516980E+003	-3.48577881E+001	3.26754263E-004	-3.48577881E+001	-3.55772285E+001	-4.30204315E+001	2.99950504E+001	
