Acquired on 7/10/2022 at 16:57:15
Calibrated on 7/10/2022 at 10:40:43
Device Descriptor:  [none]
Scan Range (nm):  1525.002  --  1610.564
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030924
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.52500159E+003	-3.16604214E+001	6.82272657E-004	-3.16604214E+001	-3.50438919E+001	-3.43270912E+001	2.98743820E+001	
1.52500659E+003	-2.88751774E+001	1.29563385E-003	-2.88751774E+001	-2.96210880E+001	-3.68937721E+001	2.98743820E+001	
1.52501160E+003	-2.84498444E+001	1.42894452E-003	-2.84498444E+001	-2.90412140E+001	-3.74014359E+001	2.99801731E+001	
1.52501648E+003	-2.93881798E+001	1.15128257E-003	-2.93881798E+001	-3.02176266E+001	-3.69862709E+001	2.99948235E+001	
1.52502136E+003	-2.90700054E+001	1.23879511E-003	-2.90700054E+001	-2.98280144E+001	-3.70245895E+001	2.99874992E+001	
1.52502637E+003	-2.87082405E+001	1.34640536E-003	-2.87082405E+001	-2.93861160E+001	-3.71091270E+001	2.99870319E+001	
1.52503137E+003	-2.90435219E+001	1.24637224E-003	-2.90435219E+001	-2.97886066E+001	-3.70665283E+001	2.99838219E+001	
1.52503625E+003	-2.90041389E+001	1.25772564E-003	-2.90041428E+001	-2.97530079E+001	-3.70069885E+001	2.99880466E+001	
1.52504114E+003	-2.87836037E+001	1.32324314E-003	-2.87836037E+001	-2.95054703E+001	-3.69328156E+001	2.99918499E+001	
1.52504614E+003	-2.89344501E+001	1.27807120E-003	-2.89344501E+001	-2.96734715E+001	-3.69899902E+001	2.99842186E+001	
1.52505115E+003	-2.89996986E+001	1.25901285E-003	-2.89996986E+001	-2.97374249E+001	-3.70622292E+001	2.99876709E+001	
1.52505603E+003	-2.89161644E+001	1.28346379E-003	-2.89161644E+001	-2.96506958E+001	-3.69959946E+001	2.99953175E+001	
1.52506104E+003	-2.89434662E+001	1.27542031E-003	-2.89434662E+001	-2.96815853E+001	-3.70038834E+001	2.99861679E+001	
1.52506592E+003	-2.89278412E+001	1.28001720E-003	-2.89278412E+001	-2.96579094E+001	-3.70319786E+001	2.99834137E+001	
1.52507080E+003	-2.88920898E+001	1.29059795E-003	-2.88920898E+001	-2.96335297E+001	-3.69346275E+001	2.99919052E+001	
1.52507581E+003	-2.88996010E+001	1.28836837E-003	-2.88996010E+001	-2.96403408E+001	-3.69458847E+001	2.99876518E+001	
1.52508081E+003	-2.88618851E+001	1.29960536E-003	-2.88618851E+001	-2.95830574E+001	-3.70149269E+001	2.99833508E+001	
1.52508582E+003	-2.88961449E+001	1.28939352E-003	-2.88961449E+001	-2.96389580E+001	-3.69313011E+001	2.99905720E+001	
1.52509058E+003	-2.89523792E+001	1.27280550E-003	-2.89523792E+001	-2.97054024E+001	-3.69332085E+001	2.99904766E+001	
1.52509558E+003	-2.88785477E+001	1.29462860E-003	-2.88785477E+001	-2.95970631E+001	-3.70463371E+001	2.99856071E+001	
1.52510059E+003	-2.88777122E+001	1.29487831E-003	-2.88777122E+001	-2.96052151E+001	-3.69958725E+001	2.99884109E+001	
1.52510547E+003	-2.89486427E+001	1.27390120E-003	-2.89486427E+001	-2.97010059E+001	-3.69329643E+001	2.99900093E+001	
1.52511047E+003	-2.88752975E+001	1.29559764E-003	-2.88752975E+001	-2.96016197E+001	-3.69999542E+001	2.99888096E+001	
