Acquired on 7/10/2022 at 17:29:22
Calibrated on 7/10/2022 at 10:40:43
Device Descriptor:  [none]
Scan Range (nm):  1525.002  --  1610.564
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030924
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  16384
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.52500159E+003	-2.91132069E+001	1.22653320E-003	-2.91132069E+001	-3.11527481E+001	-3.33756599E+001	2.99255066E+001	
1.52500659E+003	-2.78189964E+001	1.65234366E-003	-2.78189964E+001	-2.85765915E+001	-3.57757568E+001	2.99255066E+001	
1.52501160E+003	-2.75331135E+001	1.76477234E-003	-2.75331135E+001	-2.81890335E+001	-3.60662766E+001	2.99714394E+001	
1.52501648E+003	-2.80644779E+001	1.56153727E-003	-2.80644779E+001	-2.89567852E+001	-3.53756828E+001	2.99917641E+001	
1.52502136E+003	-2.78679695E+001	1.63381547E-003	-2.78679695E+001	-2.86660290E+001	-3.56183777E+001	2.99988995E+001	
1.52502637E+003	-2.76172409E+001	1.73091644E-003	-2.76172409E+001	-2.83263569E+001	-3.58376350E+001	2.99890995E+001	
1.52503137E+003	-2.78504791E+001	1.64040807E-003	-2.78504791E+001	-2.86658001E+001	-3.55163307E+001	2.99704304E+001	
1.52503625E+003	-2.78390503E+001	1.64473173E-003	-2.78390503E+001	-2.86488266E+001	-3.55318375E+001	2.99769821E+001	
1.52504114E+003	-2.77038536E+001	1.69673807E-003	-2.77038536E+001	-2.84458542E+001	-3.57433701E+001	3.00007381E+001	
1.52504614E+003	-2.78070145E+001	1.65690924E-003	-2.78070145E+001	-2.85970135E+001	-3.55975952E+001	2.99963970E+001	
1.52505115E+003	-2.78142166E+001	1.65416277E-003	-2.78142166E+001	-2.86228065E+001	-3.55128059E+001	2.99797802E+001	
1.52505603E+003	-2.76890469E+001	1.70253171E-003	-2.76890469E+001	-2.84565086E+001	-3.55944099E+001	2.99858704E+001	
1.52506104E+003	-2.77649307E+001	1.67304208E-003	-2.77649307E+001	-2.85429554E+001	-3.56160507E+001	2.99969978E+001	
1.52506592E+003	-2.78060169E+001	1.65728910E-003	-2.78060169E+001	-2.86035118E+001	-3.55592384E+001	2.99936523E+001	
1.52507080E+003	-2.77040005E+001	1.69667986E-003	-2.77040005E+001	-2.84885998E+001	-3.55217667E+001	2.99855042E+001	
1.52507581E+003	-2.77223797E+001	1.68951484E-003	-2.77223797E+001	-2.85034332E+001	-3.55581017E+001	2.99824696E+001	
1.52508081E+003	-2.77727623E+001	1.67002832E-003	-2.77727623E+001	-2.85528069E+001	-3.56136017E+001	2.99872799E+001	
1.52508582E+003	-2.77081413E+001	1.69506250E-003	-2.77081413E+001	-2.84973927E+001	-3.55024872E+001	2.99919605E+001	
1.52509058E+003	-2.77132893E+001	1.69305468E-003	-2.77132893E+001	-2.85104923E+001	-3.54679527E+001	2.99818115E+001	
1.52509558E+003	-2.77618217E+001	1.67424046E-003	-2.77618217E+001	-2.85416241E+001	-3.56038818E+001	2.99727287E+001	
1.52510059E+003	-2.77370110E+001	1.68383250E-003	-2.77370110E+001	-2.85210018E+001	-3.55578423E+001	2.99882202E+001	
1.52510547E+003	-2.77177696E+001	1.69130950E-003	-2.77177696E+001	-2.85168362E+001	-3.54631844E+001	3.00040874E+001	
1.52511047E+003	-2.77422924E+001	1.68178568E-003	-2.77422924E+001	-2.85191650E+001	-3.55992851E+001	2.99926147E+001	
1.52511536E+003	-2.77526855E+001	1.67776656E-003	-2.77526855E+001	-2.85281525E+001	-3.56168594E+001	2.99759903E+001	
1.52512036E+003	-2.77275162E+001	1.68751762E-003	-2.77275162E+001	-2.85299797E+001	-3.54561577E+001	2.99796925E+001	
1.52512524E+003	-2.77400284E+001	1.68266369E-003	-2.77400284E+001	-2.85269699E+001	-3.55459747E+001	2.99901142E+001	
1.52513025E+003	-2.77546959E+001	1.67698960E-003	-2.77546959E+001	-2.85264759E+001	-3.56377869E+001	2.99916058E+001	
1.52513513E+003	-2.77358093E+001	1.68429827E-003	-2.77358093E+001	-2.85322189E+001	-3.54944077E+001	2.99901295E+001	
1.52514014E+003	-2.77207661E+001	1.69014256E-003	-2.77207661E+001	-2.85182552E+001	-3.54740105E+001	2.99894352E+001	
1.52514502E+003	-2.77437954E+001	1.68120430E-003	-2.77437954E+001	-2.85242882E+001	-3.55823479E+001	2.99860725E+001	
1.52515002E+003	-2.77586060E+001	1.67548121E-003	-2.77586060E+001	-2.85476665E+001	-3.55539017E+001	2.99860535E+001	
1.52515503E+003	-2.77509861E+001	1.67842326E-003	-2.77509861E+001	-2.85457993E+001	-3.55175171E+001	2.99922962E+001	
