Acquired on 12/7/2021 at 15:35:20
Calibrated on 12/6/2021 at 10:52:20
Device Descriptor:  [none]
Scan Range (nm):  1545.529  --  1588.289
Measurement Type:  Reflection
Group Index:  1.454
Gain:  0 dB
Domain:  Frequency
Resolution Bandwidth (GHz):  1.030926
Frequency domain window was not applied to measurement data.
Number of Data Points (in this file):  8192
NOTE: Data stored in this file is not decimated.

Wavelength (nm)	Return Loss (dB)	Linear Amplitude (1/mm)	Return Loss	Polarization S	Polarization P	Group Delay (ns)	
1.54552905E+003	-4.84460068E+001	1.43020770E-005	-4.84460068E+001	-4.94531593E+001	-5.52867584E+001	3.72995224E+001	
1.54553418E+003	-3.81554642E+001	1.52916240E-004	-3.81554642E+001	-5.57982101E+001	-3.82308464E+001	3.72995224E+001	
1.54553918E+003	-3.72425270E+001	1.88689330E-004	-3.72425270E+001	-5.35067787E+001	-3.73464088E+001	3.71973991E+001	
1.54554419E+003	-3.71854439E+001	1.91185885E-004	-3.71854439E+001	-5.20257568E+001	-3.73303108E+001	3.71414680E+001	
1.54554932E+003	-3.76262741E+001	1.72731801E-004	-3.76262741E+001	-5.32351990E+001	-3.77473145E+001	3.71913414E+001	
1.54555444E+003	-3.81589203E+001	1.52794601E-004	-3.81589203E+001	-5.46539230E+001	-3.82573662E+001	3.71874847E+001	
1.54555957E+003	-3.76671753E+001	1.71112872E-004	-3.76671753E+001	-5.41737976E+001	-3.77653542E+001	3.72006721E+001	
1.54556458E+003	-3.75952988E+001	1.73968321E-004	-3.75952988E+001	-5.38652992E+001	-3.76990433E+001	3.71835518E+001	
1.54556958E+003	-3.72971268E+001	1.86332036E-004	-3.72971268E+001	-5.27690926E+001	-3.74221001E+001	3.71741638E+001	
1.54557471E+003	-3.76303406E+001	1.72570260E-004	-3.76303406E+001	-5.35364838E+001	-3.77432671E+001	3.71853104E+001	
1.54557983E+003	-3.78005524E+001	1.65937585E-004	-3.78005524E+001	-5.37979126E+001	-3.79111023E+001	3.71841736E+001	
1.54558496E+003	-3.77609673E+001	1.67457081E-004	-3.77609673E+001	-5.41105995E+001	-3.78628006E+001	3.71961441E+001	
1.54559009E+003	-3.76462898E+001	1.71937572E-004	-3.76462898E+001	-5.37544327E+001	-3.77540245E+001	3.71825027E+001	
1.54559497E+003	-3.74235725E+001	1.80985022E-004	-3.74235725E+001	-5.31593246E+001	-3.75410805E+001	3.71836319E+001	
1.54560010E+003	-3.76771317E+001	1.70721003E-004	-3.76771317E+001	-5.35243950E+001	-3.77916222E+001	3.71806755E+001	
